game_event_id,game_date,game_id,event_minute,event_type,club_id,player_id,description,player_in_id,player_assist_id
b3ca1a3fff455d4663d024bf9125a98c,2022-08-14,3828441,76,Substitutions,1177,524081,,281492,
96e2f966d27cd52d651f63330ff90eb8,2022-08-14,3828441,46,Substitutions,1177,542654,,541601,
47bbb0a85e65c46d1e298c209e3e110e,2022-08-14,3828441,69,Substitutions,1177,542762,,599215,
0355490247e4f7414c573e4ae257e264,2022-08-14,3828441,62,Substitutions,1063,718318,,487924,
a898bd9eb2ac892568a60f771cda3b2f,2022-08-21,3828442,66,Substitutions,1053,148344,,805056,
0487251d6bff3659d18f224ad2b44e6e,2022-08-21,3828442,83,Substitutions,206,237436,,482110,
1f4142ef095bbb3e2dad46564720e509,2022-08-21,3828442,90,Substitutions,206,345700,,542690,
53ec7581848d3922f50994f40666c56d,2022-08-21,3828442,66,Substitutions,1053,345746,,48803,
06af439b58fd9935a0677e0855d2127b,2022-08-21,3828442,10,Goals,1053,423197,Left-footed shot 2. Goal of the Season,,
d521d7a526142fedd97075b1a4214733,2022-08-21,3828442,90,Substitutions,1053,423197,,266615,
064f0ccaa334c46ce2b7e49563e63e81,2022-08-21,3828442,46,Substitutions,206,515613,,701226,
83d510137440da55f2a06191b6d59b32,2022-08-21,3828442,76,Substitutions,1053,543311,,315561,
e5e3afa449a62b27938e118c1db2cae0,2022-08-21,3828442,87,Goals,1053,545331,Header 1. Goal of the Season,,
7e13cad1f8d0f9cd192f499df30b13c3,2022-08-21,3828442,58,Goals,206,569663,Right-footed shot 1. Goal of the Season,,
26f695a170f39eab217c6633bba75e8b,2022-08-21,3828442,62,Substitutions,206,800925,,546712,
f14b179d0b1887e523ea998859bad053,2022-08-21,3828443,87,Substitutions,1177,281492,,422721,
c629898531e77d8e6c88323d95de1c26,2022-08-21,3828443,77,Substitutions,1177,293279,,587298,
58ec52a0f161557e5f5fba27a664fb95,2022-08-21,3828443,74,Substitutions,2778,488785,,579287,
7e0ee4fc656c912b5dad1d38f24353b3,2022-08-21,3828443,46,Substitutions,2778,515017,,1045972,
656f13df62e9eca8bc84fbc3450ed4b1,2022-08-21,3828443,65,Substitutions,2778,527896,,658534,
93b0caf16b097b97277b1bc856dd57c6,2022-08-21,3828443,77,Substitutions,1177,541601,,221916,
535e21be5dd9416161d8eb6fe8aa8536,2022-08-21,3828443,65,Substitutions,2778,569632,,658531,
61696e57c44317f59e5650f29201ac1d,2022-08-21,3828443,3,Goals,1177,599215,Counter attack goal 2. Goal of the Season,,
6328c43b6d0161524f828a71da0cd0a1,2022-08-21,3828443,15,Goals,1177,599215,Left-footed shot 3. Goal of the Season,,
0c72773743a408402cb72959441f5af8,2022-08-21,3828443,68,Substitutions,1177,599215,,102132,
88c3aeb31cc92a12e237051f0efb1ad7,2022-08-21,3828443,74,Substitutions,2778,670103,,475949,
6657deeff4b424ca9434bb8b0ccdb5c4,2022-08-21,3828444,84,Substitutions,1063,97503,,631704,
2d0b79ddc4d70d00f0e2894d0cc908cd,2022-08-21,3828444,46,Substitutions,5724,164693,,374253,
09723102d75699ed086c59b8236378df,2022-08-21,3828444,56,Substitutions,1063,202570,,357917,
43bc246c122308e772b214bbae6c8473,2022-08-21,3828444,73,Substitutions,5724,274984,,235355,
4005567d03a0c194f0973baaa3a902d3,2022-08-21,3828444,71,Substitutions,5724,316750,,290405,
a21c1a4f6537463c920f5533034e7f61,2022-08-21,3828444,90,Substitutions,5724,320272,,99100,
5747dd27d6a0000c52ed01b8b515ba61,2022-08-21,3828444,64,Substitutions,1063,466812,,487924,
5c7f6933f85f6b5cf7d63dd236ed1536,2022-08-21,3828444,56,Substitutions,1063,531927,,250464,
22355c634b7ecb908985e671fdb3390f,2022-08-21,3828444,48,Goals,5724,685145,Long distance kick 2. Goal of the Season,,
f35371b868b1230c35ef424af526ea5b,2022-08-21,3828444,73,Substitutions,5724,685145,,491890,
b60827156aaf64b572148df9ae454494,2022-08-20,3828445,90,Substitutions,678,341466,,283225,
d9fda8b9c97ecc28e21c948aa1a214d9,2022-08-20,3828445,67,Substitutions,865,355689,,524590,
a75daee2e4fe93dd49cff5e76bec1a5a,2022-08-20,3828445,74,Substitutions,678,386541,,339327,
852f0a41fdfc756a74e41f51244a3848,2022-08-20,3828445,86,Goals,678,403673,Right-footed shot 1. Goal of the Season,,
9063f999028a6d43aa611c3a479153f3,2022-08-20,3828445,70,Substitutions,678,422950,,403673,
f832685e849268bd1250a76093ca0e43,2022-08-20,3828445,61,Goals,678,441986,Header 2. Goal of the Season,,
ab4f4999170eda10ea52e84ea01eb0a9,2022-08-20,3828445,60,Substitutions,865,462823,,342389,
23fee81bc350ee051d3be7ae3ff0859e,2022-08-20,3828445,67,Substitutions,865,514888,,490309,
fa850662deaddc7b55dbe562b079e502,2022-08-20,3828445,85,Substitutions,865,520492,,462837,
acbcd525bc841aacb12cb9562479d257,2022-08-20,3828445,74,Substitutions,678,675278,,445616,
6b91926876ca1171c2738bf8cffbf435,2022-08-19,3828446,56,Substitutions,369,56354,,253664,
74d42db7b44705a219ef1e7a0a6f70e3,2022-08-19,3828446,81,Substitutions,369,61336,,728924,
