game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3851133,3508,1,16,Mbaye Leye,172,3,6,Edward Still,Home,False
3860204,3840,3,1,Vincenzo Montella,2381,0,14,Riza Calimbay,Home,True
3869061,8024,1,12,Armando Evangelista,2424,0,11,Ivo Vieira,Home,True
3888999,1091,2,2,Razvan Lucescu,3060,1,7,Chris Coleman,Home,True
3889524,1083,2,5,Valeriy Karpin,41231,2,7,Vadim Garanin,Home,False
3890034,2759,1,11,Malky Mackay,371,3,1,Ange Postecoglou,Home,False
3902055,6992,0,14,Roman Grygorchuk,26459,1,5,Yuriy Virt,Home,False
3837219,610,6,1,Alfred Schreuder,202,1,15,Frank Wormuth,Home,True
3837814,873,0,19,Patrick Vieira,11,2,2,Mikel Arteta,Home,False
3839099,3,0,8,Steffen Baumgart,79,0,12,Pellegrino Matarazzo,Home,False
3844090,150,3,2,Manuel Pellegrini,1531,0,19,Francisco Rodríguez,Home,True
3844761,1005,1,16,Marco Baroni,749,1,13,Paolo Zanetti,Home,False
3844769,46,3,3,Simone Inzaghi,2239,1,18,Massimiliano Alvini,Home,True
3851129,2861,0,11,Yves Vanderhaeghe,475,1,12,Bernd Hollerbach,Home,False
3865513,252,3,,Alexander Blessin,4171,2,,Fabio Caserta,Home,True
3869064,7378,2,4,Paulo Sérgio,2420,1,5,Moreno,Home,True
3887497,162,1,,Philippe Clement,383,1,,Ruud van Nistelrooy,Home,False
3889530,1124,1,14,Oleg Vasilenko,232,4,2,Guillermo Abascal,Home,False
3890035,370,2,7,Jim Goodwin,987,3,4,Stevie Hammell,Home,False
3909910,1083,2,,Valeriy Karpin,121,0,,Slavisa Jokanovic,Home,True
3837214,1435,2,18,René Hake,383,5,2,Ruud van Nistelrooy,Home,False
3837232,1283,3,10,Dick Lukkien,200,2,12,Henk Fraser,Home,True
3837827,281,4,1,Pep Guardiola,989,0,11,Scott Parker,Home,True
3837833,11,4,2,Mikel Arteta,1003,2,15,Brendan Rodgers,Home,True
3837842,148,1,4,Antonio Conte,543,0,18,Bruno Lage,Home,True
3837862,31,2,6,Jürgen Klopp,762,1,12,Eddie Howe,Home,True
3839730,1082,4,2,Paulo Fonseca,290,1,18,Jean-Marc Furlan,Home,True
3844091,940,2,9,Eduardo Coudet,714,2,8,Diego Martínez,Home,False
3844755,410,0,13,Andrea Sottil,380,0,12,Davide Nicola,Home,False
3844775,410,1,7,Andrea Sottil,430,0,10,Vincenzo Italiano,Home,True
3851077,2715,0,18,José Jeunechamps,172,1,8,Edward Still,Home,False
3851201,2715,0,18,José Jeunechamps,1184,4,2,Wouter Vrancken,Home,False
3860203,2832,1,7,Erol Bulut,868,0,13,Mustafa Dalci,Home,True
3869115,8024,0,10,Armando Evangelista,1075,6,2,Artur Jorge,Home,False
3885842,12321,0,13,Míchel,940,1,12,Eduardo Coudet,Home,False
3888992,1091,1,6,Razvan Lucescu,6418,0,10,Giannis Anastasiou,Home,True
3902069,660,1,7,Igor Jovicevic,3592,0,14,Yuriy Vernydub,Home,True
3839841,290,1,7,Jean-Marc Furlan,667,0,16,Julien Stéphan,Home,True
3851079,475,0,17,Bernd Hollerbach,58,3,2,Felice Mazzù,Home,False
3854847,868,0,12,Mustafa Dalci,2293,0,11,Ilhan Palut,Home,False
3869046,7378,0,12,Paulo Sérgio,2503,1,6,Petit,Home,False
3837831,1148,4,3,Thomas Frank,985,0,20,Erik ten Hag,Home,True
3828450,2778,3,1,Flemming Pedersen,190,1,8,Jess Thorup,Home,True
3837816,148,4,1,Antonio Conte,180,1,20,Ralph Hasenhüttl,Home,True
3837829,631,2,7,Thomas Tuchel,148,2,4,Antonio Conte,Home,False
3839096,27,1,1,Julian Nagelsmann,18,1,6,Daniel Farke,Home,False
3839729,3524,0,20,Pascal Gastien,583,5,1,Christophe Galtier,Home,False
3839868,244,1,3,Igor Tudor,3524,0,12,Pascal Gastien,Home,True
3839871,273,3,7,Bruno Génésio,3911,1,17,Michel Der Zakarian,Home,True
3844598,681,1,11,Imanol Alguacil,131,4,5,Xavi,Home,False
3844768,749,1,13,Paolo Zanetti,276,1,15,Gabriele Cioffi,Home,False
3845647,964,2,2,Sergey Semak,2410,1,4,Vladimir Fedotov,Home,True
