"game_lineups_id","game_date","game_id","player_id","club_id","player_name","lineup_type","player_position","lineup_number","team_captain"
"fb7d237b6ac46c3278d6e6e68cfefa61","2022-08-05","3828431","107266","369","Marcel Römer","starting_lineup","Central Midfield",30,True
"36876fda78aff94ca6edd13f2276ea7a","2022-08-05","3828431","164647","369","Emil Nielsen","starting_lineup","Centre-Forward",7,False
"24e740994f0c4dcbbd5f0c0602a9faad","2022-08-05","3828431","243770","865","Stefan Gartenmann","substitutes","Centre-Back",4,False
"ba02732fe17098f9f276af4fc8233eb2","2022-08-05","3828431","253664","369","Pascal Gregor","starting_lineup","Centre-Back",23,False
"ef404a50e22c0626625c7c011fc5508a","2022-08-05","3828431","255469","865","Joel Andersson","starting_lineup","Right Midfield",6,False
"09b2503cc024d24c6de1a1f76953a8cb","2022-08-05","3828431","281252","865","Mads Thychosen","substitutes","Right-Back",17,False
"982610e4ae961a136265d5db48e1423c","2022-08-05","3828431","283193","369","Rezan Corlu","substitutes","Attacking Midfield",97,False
"53575d13b2c0d6e07d590d1d8020d077","2022-08-05","3828431","283231","369","Rasmus Thellufsen","starting_lineup","Central Midfield",10,False
"e0d0941586f573fc3962f65af80568a7","2022-08-05","3828431","288436","369","Kristian Dirks Riis","substitutes","Centre-Back",5,False
"decbd2b901e2df2c5c55ec02fb3c7e70","2022-08-05","3828431","342389","865","Anders Dreyer","starting_lineup","Right Winger",36,False
"30b69f0504c128b97d59f4ec834bca2e","2022-08-05","3828431","355689","865","Sory Kaba","starting_lineup","Centre-Forward",9,False
"734e6c6d46cb34e5bdc6df4fdc2ef3cf","2022-08-05","3828431","383638","865","Juninho","substitutes","Centre-Back",73,False
"1163bf9ab0159c2d971a755f179d89ec","2022-08-05","3828431","399151","369","Saevar Atli Magnússon","substitutes","Centre-Forward",21,False
"74e542df5618da028f09035040967997","2022-08-05","3828431","400537","369","Adam Sørensen","starting_lineup","Left Midfield",17,False
"60c671423d95466a9765ddf92be5cbe5","2022-08-05","3828431","400549","369","Magnus Kaastrup","starting_lineup","Attacking Midfield",11,False
"3a52a3fe3fe0c0e30cdf868758aecdf4","2022-08-05","3828431","461484","369","Frederik Ibsen","starting_lineup","Goalkeeper",1,False
"c02771cc460b0aaa22452f3eae18865c","2022-08-05","3828431","462823","865","Gustav Isaksen","starting_lineup","Left Winger",11,False
"84395c4a30c16c69cbc78a82b810d1e3","2022-08-05","3828431","462837","865","Nikolas Dyhr","starting_lineup","Left Midfield",44,False
"30b6318121bfa82a55ccae1035130831","2022-08-05","3828431","464373","865","Elías Rafn Ólafsson","starting_lineup","Goalkeeper",16,False
"8148715c8978026cacbf1b9583b40662","2022-08-05","3828431","467236","369","Kasper Jörgensen","starting_lineup","Right Midfield",20,False
"6b35765b97de648dde03085a9c7fcaf0","2022-08-05","3828431","486078","865","Charles","substitutes","Central Midfield",35,False
"5dd205841a51796525c5c948987c7830","2022-08-05","3828431","490309","865","Edward Chilufya","substitutes","Right Winger",18,False
"4537b1672576c5f42bf281cc5b6efac3","2022-08-05","3828431","514888","865","Oliver Sörensen","starting_lineup","Central Midfield",24,False
"5a7d4266aeb298dc81b7fdd153bb2a7e","2022-08-05","3828431","520492","865","Paulinho","starting_lineup","Centre-Back",29,False
"60013dfdb6ad64685f61b3932ce0d0ff","2022-08-05","3828431","524590","865","Júnior Brumado","substitutes","Centre-Forward",74,False
"6d279f6ba39626e1a3adeb4ce5109fbb","2022-08-05","3828431","537566","369","Mads Kikkenborg","substitutes","Goalkeeper",16,False
"9aae85ff1e1434d84d7d0b90aec8d1c3","2022-08-05","3828431","542692","369","Mikkel Juhl","substitutes","Right-Back",2,False
"b668523a23b7da07f6be900ee7c3b7ed","2022-08-05","3828431","542842","369","Magnus Westergaard","substitutes","Central Midfield",22,False
